Sample,SBS40a,SBS40b,SBS40c,SBS22a,SBS22b,SBS5,SBS12,SBS18,SBS1,SBS2,SBS13,SBS21,SBS44,SBS22c,SBSB,SBSC,SBSD
PD42581c_ds0013,0.44323826058328586,0,0,0.042238237,0,0,0.14255376362829483,0,0.15206323001998187,0,0,0,0,0,0.21990650828038366,0,0
PD42882c_ds0008,0.3551520472678883,0,0.25573999037597506,0.10793964233366413,0,0,0.052734117898233575,0.053629139,0.050353513139709476,0,0,0,0,0.1244515499754574,0,0,0
PD42884c,0,0.15685370494448683,0,0.1526247247980241,0.095904973,0.27759949691380376,0,0,0.032161402061181496,0.008732777,0,0,0.046974045,0,0.12101416324878174,0.10813471259846111,0
PD42885c_ds0021,0,0.1022373135713518,0.12453173310512179,0.18405055133477832,0.16869370570712583,0,0,0,0.039165661,0,0,0,0.067664408,0,0.12551859532199988,0.18813803209676272,0
PD42886c,0,0.11758590533655769,0.1515696088728373,0.081439666,0.08405886,0.2981933796738984,0,0,0.049487338,0,0,0,0,0,0.217665243,0,0
PD42887c_ds0010,0,0,0.23151030608307527,0.3852380653514975,0.36752604131408945,0,0,0,0.015725587251337846,0,0,0,0,0,0,0,0
PD42890c,0,0.07537297,0.1339835179241859,0.41381527886238323,0.2248602752123251,0,0,0,0.011405648089561706,0,0,0,0,0.14056231024956534,0,0,0
PD42891c,0,0.10273763967976171,0.2960764085931397,0.1487748295515649,0,0,0,0,0.059803147,0,0,0,0,0.10123222257226115,0.16775254885509155,0.12362320409258844,0
PD42893c_ds0012,0,0.092910655,0.2911070498916213,0,0.11969660220758499,0,0,0,0.061350416,0,0,0,0,0,0.23946199695249104,0.19547328041792744,0
PD42894c_ds0009,0.090832068,0.1310619114459083,0.11200614452962289,0.3381842961688186,0.1737634187891969,0,0,0,0,0,0,0,0,0.15415216127366654,0,0,0
PD42895c,0.1283771936948871,0.20962399267158874,0.14229976936714153,0.25667843389616496,0.081423364,0,0,0,0.026475893151436777,0,0,0,0,0.15512135356874354,0,0,0
PD42897c,0,0,0.199430594,0.3564713925675417,0.2653255601075776,0,0,0,0,0,0,0,0,0.085223302,0.093549152,0,0
PD42898c,0,0.12209827389120632,0.19218678431174646,0.27470556283680075,0.18497268538808592,0,0,0.034646213,0.021226861705184567,0,0,0,0,0,0,0.17016361868318952,0
PD42899c,0,0,0.146091277,0.30301211089715685,0.18525803761278964,0.21866592918965796,0,0.043661097,0.033716443896509914,0,0,0,0,0.069595105,0,0,0
PD42903c,0,0.1057420817504234,0,0.2709138248208042,0.15168237339094906,0.3341874904315179,0,0.041808345,0.016089230609684143,0,0,0,0,0,0,0.079576654,0
PD42904c,0,0.24047947521078258,0,0.097706202,0,0.324511211,0,0,0.061627535,0,0,0,0,0.13640740995251355,0.13926816701066475,0,0
PD42905c_ds0013,0,0,0.1942328945962159,0.45546085265844277,0.3503062527453414,0,0,0,0,0,0,0,0,0,0,0,0
PD46710c_ds0008,0,0.17840262534803736,0.30017414699331996,0,0,0.25248400030784574,0,0,0.053322440137776206,0,0.016079773041636932,0,0,0,0.199537014,0,0
PD46721c,0,0,0.2546354911477071,0.039019003,0,0.40463821707118414,0,0,0.094605658,0,0,0,0,0,0.20710163087083758,0,0
PD46724c,0,0.081549256,0.25118796487243955,0,0,0.4049787464758577,0,0,0.060903721703283106,0,0,0,0,0,0.20138031136228998,0,0
PD46738c,0,0,0.2965586349250119,0.021584884661209787,0,0.3745451490028769,0,0,0.070293337,0,0,0,0,0,0.2370179948445791,0,0
PD46743c,0,0.1945569060092711,0.21318461947029677,0,0.030917903597468106,0.2512513704735832,0,0,0.064944832,0,0,0,0,0.072650212,0.17249415682758476,0,0
PD46748c,0,0.1153642325619825,0.3455549202998779,0,0,0.2501499738133902,0,0,0.074916918,0,0,0,0,0,0.2140139557451889,0,0
PD46750c,0.37860969585991144,0,0.14389436892585727,0,0,0.41643140592201605,0,0,0.061064529,0,0,0,0,0,0,0,0
PD46770c,0,0.1856435883570208,0.21527925813031196,0,0,0.22337772050339874,0,0,0.081055578,0,0,0,0,0,0.15201079967425618,0.1426330555968634,0
PD46799c,0,0.12292917221601253,0.3094365054940528,0.037597399,0,0.29120581495691755,0,0,0.10179654175980517,0,0,0,0,0,0.13703456667810596,0,0
PD46800c,0,0.080693997,0.20272906597893078,0.029093523097484867,0,0.41982955866142757,0,0,0.077540302,0,0,0,0,0,0.19011355259342885,0,0
PD46819c,0,0.10611863854248245,0.1554801961862943,0.031250429,0,0.44228392168057235,0,0,0.10265771521090014,0,0,0,0,0,0.16220909938809533,0,0
PD46820c,0.24286987968454476,0,0.3087721436004309,0.043241372,0,0.26149797065930425,0,0.058709954311082335,0.08490868,0,0,0,0,0,0,0,0
PD46834c,0,0.10858123642591336,0.2910251274283222,0.04331013,0,0.2702997861497644,0,0,0.081293151,0,0,0,0.040072463,0,0.16541810581300925,0,0
PD46836c,0.15765667404258588,0.14494894976864986,0.15604635034276373,0.022406304303316936,0,0.2207202652714065,0,0,0.090715839,0,0,0,0,0.060355773,0.14714984402139467,0,0
PD46838c,0.1411892151212595,0.08447105,0.14469416366673601,0,0,0.33214512102072485,0,0.041349009224826754,0.078190852,0,0,0,0,0.17796058974155513,0,0,0
PD46839c,0.15444692934484897,0.15154155114790394,0.2683556886883931,0.03580678,0,0,0,0,0.10468743401481445,0,0,0,0,0,0.161340539,0.12382107816094495,0
PD46841c,0,0.28336872774592425,0.2735315450061069,0,0,0,0,0,0.058518481456891314,0,0.022179515662139795,0,0,0,0.15282344112414048,0.2095782890047972,0
PD46858c,0,0.22796231044413753,0.2657945623526555,0,0,0.16186382298398103,0,0,0.058037861,0,0,0,0,0,0.1917028391190758,0.094638604,0
PD46859c,0.2854668472482067,0.1982895862988032,0.23269360818892396,0.036117409,0,0,0,0,0.077488329,0,0,0,0,0,0,0.16994422004195453,0
PD46860c_ds0005,0,0.3889296808158032,0.22929770151907503,0,0,0,0,0,0.03855994,0,0,0,0,0,0.16322409698419957,0.1799885811118687,0
PD46866c_ds0007,0,0,0.3390592262732751,0,0.033865114090452925,0.2845646925985285,0,0,0.061998933,0,0,0,0,0,0.280512035,0,0
PD46869c,0,0.1843472242914104,0,0.045016673308531395,0,0.4999825089336138,0,0,0.049203231,0.010321651775550382,0,0,0,0,0.21112871035331568,0,0
PD46873c,0,0,0.15054676273248793,0,0.038099459,0.3434437345106791,0,0,0.072907929,0,0,0,0.058273941,0,0.1957105526688843,0.14101762192367764,0
PD46875c,0,0.11531611740824615,0.25620655627243943,0,0.033434518,0.371682079,0,0,0.076292391,0,0,0,0,0,0.14706833811552827,0,0
PD46885c_ds0003,0,0.41109015281188427,0.30894233461211756,0,0,0,0,0,0.020625257002809757,0,0,0,0,0,0.14481970368574948,0.11452255188743891,0
PD46891c_ds0012,0.18847749729926014,0,0.35223301106165006,0,0.053943663,0,0,0,0.038411882,0,0,0,0,0,0.20763434093989552,0.1592996054708421,0
PD46903c,0.13198490827649653,0,0,0.037456197,0,0.4918533609278255,0.09806436,0,0.056464102,0,0,0,0,0,0.18417707132057376,0,0
PD46911c,0,0.1094554064496626,0.4793867620591673,0,0,0,0,0,0.079014254,0,0,0,0.039881823502320696,0.10976782187541997,0.18249393246661685,0,0
PD46914c,0.16722672464625138,0.17682480569421483,0.29530695720365957,0.037226219,0,0,0,0,0.071531174,0,0,0,0,0,0.12402876422033579,0.1278553558900145,0
PD46920c,0.12794843294774605,0.1488837218154945,0.16714971854462238,0,0,0.33009018484543756,0,0,0.068561183,0,0,0,0,0,0.1573667593374488,0,0
PD46922c,0,0.27071213868837546,0.15135847011126774,0.028354502446800083,0,0.22160837133750508,0,0,0.045164353909416706,0,0,0,0,0,0.19089252187663788,0.091909642,0
PD46925c,0,0.3149131591633499,0,0,0,0.4209011362063348,0,0,0.04051943,0,0,0,0,0.061462870580200855,0.16220340358288649,0,0
PD46930c,0.22664849182691113,0.22108993681667316,0.18904766216247737,0.040993176638069964,0,0,0,0.051088185,0.029117053390324853,0,0,0,0.030974332,0,0,0.21104116194234868,0
PD46935c,0,0.095468966,0.251435072,0,0,0.3396938798305296,0,0,0.072304005,0.017251996096224197,0,0,0,0,0.2238460816819645,0,0
PD46941c,0,0.2315872440444467,0.4438830410420697,0,0,0,0,0,0.042345921,0,0,0,0,0,0.1789439934098814,0.10323980032573778,0
PD46948c,0,0.22026881327056066,0.33833520467623074,0,0,0,0,0,0.066956876,0,0,0,0,0,0.23535038047658427,0.13908872603624522,0
PD46953c,0,0,0.17628284497640526,0.46203271979582594,0.2303859136534671,0,0,0,0.019143905624968913,0,0,0,0,0.11215461594933274,0,0,0
PD46955c,0.12573281136431344,0,0.21486591244256537,0.30448945978541164,0.17004605855062793,0,0,0,0.032001338,0,0,0,0,0.15286442021823668,0,0,0
PD46959c,0,0.18810113738093084,0.1419013432966991,0.099227301,0,0.2609008675304656,0,0,0.069892228,0,0,0,0,0,0.148096311,0.091880811,0
PD46960c,0.22775856632160063,0.1993244372294283,0.3292932469620597,0,0,0,0,0.037284513,0.04851501,0,0,0,0,0,0,0.15782422608569768,0
PD46961c,0,0.20779653211344232,0.2734357391191786,0.027629339501896392,0,0,0,0,0.070635897,0,0,0,0.040358635357765515,0,0.20016592884533307,0.1799779282751315,0
PD46963c,0.14446739583545634,0.17558301113025981,0.1989054811440358,0.033542487,0,0.23502969078041783,0,0,0.039302932191139874,0,0,0,0,0,0.1731690017290938,0,0
PD47592c_ds0003,0,0,0.3144776292250929,0.081999582,0.21378078261651806,0,0,0,0.032900952,0,0,0,0.048981512567564264,0,0.20183022690703656,0.10602931490719494,0
PD47596c_ds0006,0,0.2067176937696673,0.2551806468651873,0,0.17934631769977177,0,0,0,0.018632346,0.011669542400861934,0,0,0,0,0.12765361013305201,0.20079984282036858,0
PD48851c,0,0.071802655,0.20641439197512523,0,0.0408877,0.3200455450205886,0,0,0.061786813,0,0,0,0,0,0.16362601327487933,0.1354368815188117,0
PD48855c,0,0.21378888645719046,0.15496802658222522,0,0.038740272,0.3461215582779838,0,0,0.0556973,0,0,0,0,0,0.19068395706960786,0,0
